symbol,filing_time,n_sentences,n_actions,n_sentences_topic_cluster_total,n_actions_topic_cluster_total,n_sentences_topic_pillar_total,n_actions_topic_pillar_total,n_sentences_topic_cluster_customer_orientation,n_actions_topic_cluster_customer_orientation,n_sentences_topic_cluster_shareholder_affiliation,n_actions_topic_cluster_shareholder_affiliation,n_sentences_topic_cluster_hiring_employees,n_actions_topic_cluster_hiring_employees,n_sentences_topic_cluster_natural_disaster,n_actions_topic_cluster_natural_disaster,n_sentences_topic_cluster_litigation,n_actions_topic_cluster_litigation,n_sentences_topic_cluster_carbon_emissions,n_actions_topic_cluster_carbon_emissions,n_sentences_topic_cluster_labor_issues,n_actions_topic_cluster_labor_issues,n_sentences_topic_cluster_supply_chain_problems,n_actions_topic_cluster_supply_chain_problems,n_sentences_topic_cluster_taxes,n_actions_topic_cluster_taxes,n_sentences_topic_pillar_environmental,n_actions_topic_pillar_environmental,n_sentences_topic_pillar_social,n_actions_topic_pillar_social,n_sentences_topic_pillar_governance,n_actions_topic_pillar_governance
uec,2016-10-01,196,33,93,11,107,18,26,2,17,3,7,2,3,0,23,4,8,0,0,0,7,0,2,0,12,0,29,3,66,15
uec,2017-10-01,223,34,108,11,113,18,39,2,17,3,7,2,3,0,23,4,8,0,0,0,9,0,2,0,15,0,30,3,68,15
uec,2018-10-01,227,37,109,12,117,21,39,2,17,3,7,2,3,0,24,5,8,0,0,0,9,0,2,0,15,0,31,4,71,17
uec,2019-10-01,228,36,112,14,120,22,40,3,18,3,7,2,3,0,24,5,8,0,0,0,10,1,2,0,15,0,32,5,73,17
uec,2020-10-01,228,34,108,11,115,18,39,2,17,3,7,2,3,0,23,4,8,0,0,0,9,0,2,0,15,0,30,3,70,15
uec,2021-10-01,265,41,127,14,130,18,48,3,17,3,8,2,3,0,24,5,11,0,0,0,14,1,2,0,19,0,35,3,76,15
usau,2006-07-01,69,9,31,5,6,1,22,4,3,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,6,1
usau,2007-07-01,68,11,31,5,6,1,22,4,3,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,6,1
usau,2008-07-01,64,10,30,5,5,2,21,4,3,0,0,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,5,2
usau,2009-07-01,69,11,35,6,6,2,25,5,3,0,1,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,6,2
usau,2010-07-01,73,13,36,6,7,3,26,5,3,0,1,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,7,3
usau,2011-07-01,80,13,39,7,7,3,28,6,4,0,1,0,0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,7,3
usau,2012-07-01,167,29,107,18,58,14,61,11,9,2,7,2,4,0,6,0,2,0,0,0,13,2,5,1,2,0,14,1,42,13
usau,2013-07-01,206,30,123,18,63,13,69,10,11,2,7,2,4,0,11,1,2,0,0,0,14,2,5,1,3,0,19,2,41,11
usau,2014-07-01,215,35,125,19,66,15,69,10,12,3,7,2,4,0,12,1,2,0,0,0,14,2,5,1,3,0,20,3,43,12
usau,2015-08-01,209,32,124,16,60,11,62,8,15,2,6,2,4,0,19,1,0,0,2,0,10,2,6,1,1,0,20,2,39,9
usau,2016-07-01,213,30,117,19,60,12,65,9,11,1,7,2,1,0,15,2,0,0,1,0,11,3,6,2,1,0,19,2,40,10
usau,2017-07-01,262,19,139,10,89,11,68,5,11,1,8,1,4,0,20,1,4,0,0,0,18,1,6,1,9,0,25,1,55,10
usau,2018-07-01,299,31,107,10,137,20,31,3,16,1,9,1,7,0,27,5,5,0,0,0,8,0,4,0,21,3,27,5,89,12
usau,2019-07-01,346,37,127,13,173,29,30,3,18,2,10,1,9,0,34,5,14,2,0,0,8,0,4,0,39,6,34,8,100,15
usau,2020-07-01,395,46,140,11,194,29,39,3,23,1,11,1,10,0,29,4,14,2,0,0,8,0,6,0,39,6,39,6,116,17
usau,2021-07-01,396,45,140,11,196,30,41,3,22,1,8,1,12,0,29,4,14,2,0,0,8,0,6,0,39,6,39,6,118,18
usau,2022-08-01,279,22,96,5,126,10,29,1,20,1,8,0,7,0,18,3,5,0,0,0,6,0,3,0,19,1,31,2,76,7
uuuu,2016-03-01,372,39,174,17,204,18,48,7,21,1,10,2,4,0,32,5,24,0,7,1,15,0,13,1,26,0,51,3,127,15
uuuu,2017-03-01,344,29,161,13,171,12,46,6,20,1,11,3,5,0,28,2,25,0,8,1,15,0,3,0,26,0,44,3,101,9
uuuu,2018-03-01,378,34,166,13,183,15,48,6,21,1,11,3,5,0,27,2,27,0,6,1,18,0,3,0,25,0,49,4,109,11
uuuu,2019-03-01,384,33,159,13,181,15,46,6,18,1,11,3,5,0,29,2,27,0,5,1,16,0,2,0,24,0,46,4,111,11
uuuu,2020-03-01,402,40,172,17,191,20,51,7,19,1,12,3,6,0,30,4,28,1,6,0,17,1,3,0,24,0,45,4,122,16
uuuu,2021-03-01,426,49,212,29,216,26,62,13,24,3,17,4,8,0,35,5,34,1,7,1,22,2,3,0,29,0,55,5,132,21
uuuu,2022-03-01,455,49,251,34,241,27,72,13,27,3,19,4,11,0,39,6,41,3,7,1,30,3,5,1,33,2,65,6,143,19
vgz,2006-03-01,162,20,63,10,106,19,7,3,8,1,4,1,5,0,11,2,19,2,1,0,7,1,1,0,32,5,23,3,51,11
vgz,2007-03-01,209,30,92,11,132,26,17,3,13,1,4,1,5,0,16,2,21,3,1,0,8,1,7,0,33,6,29,4,70,16
vgz,2008-03-01,240,33,97,12,133,28,18,3,12,1,6,1,5,0,17,3,18,3,1,0,12,1,8,0,28,6,35,6,70,16
vgz,2009-03-01,250,29,90,9,128,19,25,2,12,1,5,1,4,0,11,2,16,2,1,0,13,1,3,0,26,4,36,4,66,11
vgz,2010-03-01,349,49,117,19,151,31,31,5,17,3,10,3,5,0,12,2,17,3,1,0,20,2,4,1,27,5,45,8,79,18
vgz,2011-03-01,326,48,109,19,159,35,20,4,18,4,10,2,6,0,14,4,17,3,1,0,20,2,3,0,35,6,42,9,82,20
vgz,2012-03-01,349,53,120,19,165,32,24,4,19,2,13,4,5,0,15,3,16,3,1,0,24,3,3,0,33,5,43,8,89,19
vgz,2013-03-01,113,16,41,6,42,4,5,1,9,1,3,1,0,0,5,0,4,0,0,0,12,2,3,1,5,0,10,0,27,4
vgz,2014-03-01,110,17,39,6,44,4,5,1,10,1,3,1,0,0,5,0,3,0,0,0,9,2,4,1,5,0,11,0,28,4
vgz,2015-03-01,136,15,45,7,61,4,7,2,11,1,3,1,1,0,7,0,4,0,0,0,9,2,3,1,11,0,16,0,34,4
vgz,2016-02-01,145,15,51,8,70,7,11,3,11,1,3,1,1,0,7,0,4,0,0,0,10,2,4,1,13,1,18,1,39,5
vgz,2017-02-01,149,15,52,8,66,7,11,3,12,1,3,1,1,0,7,0,4,0,0,0,10,2,4,1,12,1,15,1,39,5
vgz,2018-03-01,149,14,55,8,66,7,11,3,12,1,3,1,1,0,9,0,5,0,0,0,10,2,4,1,12,1,15,1,39,5
vgz,2019-02-01,159,16,54,8,66,7,10,3,12,1,3,1,1,0,9,0,5,0,0,0,10,2,4,1,12,1,16,1,38,5
vgz,2020-02-01,196,21,85,11,90,12,15,4,20,1,5,2,2,0,15,1,10,0,0,0,14,2,4,1,14,1,22,2,54,9
vgz,2021-02-01,199,20,88,9,92,11,16,3,19,1,5,2,4,0,14,1,10,0,2,0,15,2,3,0,14,1,26,2,52,8
vgz,2022-02-01,199,19,90,9,93,12,17,3,22,1,4,2,4,0,14,1,11,0,1,0,14,2,3,0,14,1,24,3,55,8
xpl,2006-03-01,123,18,54,11,55,12,15,2,11,3,8,3,6,1,8,0,2,1,0,0,3,1,1,0,7,1,15,4,33,7
xpl,2007-02-01,128,22,45,8,51,10,12,1,6,1,7,3,6,1,8,0,3,1,0,0,2,1,1,0,7,1,12,2,32,7
xpl,2008-03-01,137,21,52,10,53,9,16,2,8,1,6,3,6,1,8,0,3,1,0,0,2,1,3,1,7,1,14,2,32,6
xpl,2009-03-01,156,24,53,10,56,10,17,2,8,1,6,3,6,1,8,0,3,1,0,0,2,1,3,1,7,1,15,2,34,7
xpl,2010-02-01,154,22,51,11,56,10,15,2,9,2,6,3,6,1,8,0,3,1,0,0,2,1,2,1,7,1,15,2,34,7
xpl,2011-03-01,157,24,56,11,67,10,17,3,7,1,8,3,6,1,8,0,4,1,0,0,4,1,2,1,9,1,18,2,40,7
xpl,2012-03-01,176,25,65,10,81,8,19,3,8,1,9,3,6,0,11,1,6,0,0,0,4,1,2,1,11,0,21,1,49,7
xpl,2013-03-01,177,27,62,12,75,9,16,3,8,2,9,3,6,0,11,1,5,0,0,0,5,2,2,1,9,0,21,3,45,6
xpl,2014-03-01,182,28,65,11,78,10,15,3,13,2,9,3,6,0,11,1,5,0,0,0,4,1,2,1,9,0,22,3,47,7
xpl,2015-03-01,177,23,65,12,75,7,14,3,15,3,9,3,6,0,11,1,5,0,0,0,3,1,2,1,9,0,22,1,44,6
xpl,2016-03-01,136,19,58,12,62,7,14,3,14,3,7,3,6,0,11,1,2,0,0,0,2,1,2,1,6,0,17,1,39,6
xpl,2017-03-01,141,20,63,12,63,8,14,3,14,3,7,3,9,0,13,1,2,0,0,0,2,1,2,1,6,0,18,1,39,7
xpl,2018-03-01,161,19,74,11,72,9,19,3,17,2,7,3,9,0,13,1,2,0,0,0,2,1,5,1,7,0,18,1,47,8
xpl,2019-03-01,145,20,66,11,64,8,15,3,14,2,7,3,10,0,13,1,2,0,0,0,2,1,3,1,6,0,18,1,40,7
xpl,2020-03-01,149,20,66,11,63,8,16,3,15,2,7,3,10,0,13,1,2,0,0,0,2,1,1,1,6,0,18,1,39,7
xpl,2021-03-01,177,24,78,11,84,12,19,3,16,2,7,3,16,0,14,1,2,0,0,0,2,1,2,1,7,0,28,1,49,11
xpl,2022-03-01,198,23,84,11,98,11,17,3,18,2,8,3,14,0,13,1,7,0,1,0,4,1,2,1,12,0,28,1,58,10
