rank,company_name,symbol,mkt_cap,country,flag_public_mining,downloaded_filings,ciq_company_id
93,Centerra Gold,CGAU,986740288,Canada,1,40-F,9870273.0
94,Seabridge Gold,SA,966536320,Canada,1,"20-F, 40-F",3064962.0
95,Ivanhoe Electric,IE,938167872,Canada,1,NO-SEC-FILING,414552023.0
96,ioneer,IONR,897167680,Australia,1,NO-SEC-FILING,38704945.0
97,Standard Lithium,SLI,863436480,Canada,1,40-F,3175246.0
98,SilverCrest Metals,SILV,783197888,Canada,1,40-F,311536574.0
99,Coeur Mining,CDE,761149632,United States,1,10-K,262033.0
100,Nexa Resources,NEXA,735036480,Luxembourg,1,20-F,284839929.0
101,Fortuna Silver Mines,FSM,662620480,Canada,1,40-F,3474768.0
102,Gujarat Mineral Development,GMDCLTD.NS,658377421,India,1,NO-SEC-FILING,4509039.0
103,New Found Gold,NFGC,618120896,Canada,1,40-F,547134851.0
104,Endeavour Silver,EXK,534753760,Canada,1,40-F,3018255.0
105,Maverix Metals,MMX,509322400,Canada,1,40-F,331380015.0
106,DRDGOLD,DRD,470170848,South Africa,1,20-F,21841668.0
107,Patriot Battery Metals,PMET.V,457382197,Canada,1,NO-SEC-FILING,79093186.0
108,American Battery Technology Company,ABML,440686816,United States,1,10-K,240726304.0
109,MOIL,MOIL.NS,433198240,India,1,NO-SEC-FILING,23465324.0
110,New Pacific Metals,NEWP,404458048,Canada,1,40-F,3188873.0
111,Arizona Metals,AMC.V,386952890,Canada,1,NO-SEC-FILING,214036558.0
112,Nouveau Monde Graphite,NMG,338948384,Canada,1,40-F,212567138.0
113,PolyMet,PLM,329780736,Canada,1,"20-F, 40-F",27827436.0
114,NACCO Industries,NC,313202368,United States,1,10-K,290291.0
115,Taseko Mines,TGB,290445568,Canada,1,"20-F, 40-F",876653.0
116,Argonaut Gold,AR.TO,268771522,United States,1,NO-SEC-FILING,79692237.0
117,Marathon Gold,MOZ.TO,267358007,Canada,1,NO-SEC-FILING,25848487.0
118,Hallador Energy Company,HNRG,217685152,United States,1,10-K,29256.0
119,Gatos Silver,GATO,194267936,United States,1,10-K,1823237047.0
120,Western Copper and Gold,WRN,193885824,Canada,1,"20-F, 40-F",27236007.0
121,Northern Dynasty Minerals,NAK,155828448,Canada,1,"20-F, 40-F",875165.0
122,McEwen Mining,MUX,146550352,Canada,1,10-K,310819.0
123,Hycroft Mining,HYMC,143793360,United States,1,10-K,30027533.0
124,Platinum Group Metals,PLG,137205168,Canada,1,"20-F, 40-F",1665325.0
125,Tanzanian Gold Corp,TRX,132935944,Canada,1,20-F,1760866438.0
126,Prakash Industries,PRAKASH.NS,132878809,India,1,NO-SEC-FILING,20358462.0
127,Americas Gold and Silver Corp,USAS,79588568,Canada,1,40-F,3178669.0
128,Sierra Metals,SMTS,74843552,Canada,1,40-F,3109296.0
129,Vista Gold,VGZ,66150560,United States,1,10-K,276109.0
130,Avino Silver & Gold Mines,ASM,60924692,Canada,1,20-F,875979.0
131,Petropavlovsk,POG.L,54701538,United Kingdom,1,NO-SEC-FILING,6227447.0
132,Silver One Resources,SVE.V,48027963,Canada,1,NO-SEC-FILING,40126007.0
133,Golden Minerals,AUMN,43514536,United States,1,10-K,370488.0
134,Comstock Mining,LODE,41730924,United States,1,10-K,214924257.0
135,Brazil Minerals,BMIX,39534748,Brazil,1,10-K,1760659902.0
136,Great Panther Mining,GPL,38185764,Canada,1,"20-F, 40-F",876507.0
137,Solitario Zinc,XPL,36309444,United States,1,10-K,3181744.0
138,Orosur Mining,OMI.V,33037144,Canada,1,NO-SEC-FILING,3188602.0
139,U.S. Gold Corp,USAU,30142922,United States,1,10-K,364606463.0
140,Austin Gold,AUST,20704008,United States,1,NO-SEC-FILING,670777793.0
141,Trillium Gold Mines,TGM.V,8653588,Canada,1,NO-SEC-FILING,41833104.0
