rank,company_name,symbol,mkt_cap,country,flag_public_mining
64,Alpha Metallurgical Resources,AMR,2592724992,United States,1
65,CONSOL Energy,CEIX,2533138432,United States,1
66,Liontown Resources,LTR.AX,2424535616,Australia,1
67,Sigma Lithium,SGML,2255053568,Canada,1
68,Hecla Mining,HL,2112236032,United States,1
69,Triple Flag Precious Metals,TFPM.TO,1967286611,Canada,1
70,First Majestic Silver,AG,1919282048,Canada,1
71,Warrior Met Coal,HCC,1646713600,United States,1
72,Harmony Gold,HMY,1624744960,South Africa,1
73,Lundin Gold,LUG.TO,1589334780,Canada,1
74,Sandstorm Gold,SAND,1566239744,Canada,1
75,KIOCL,KIOCL.NS,1522865274,India,1
76,Evraz,EVZ.F,1466822907,Russia,1
77,Buenaventura Mining Company,BVN,1442646144,Peru,1
78,Hindustan Copper,HINDCOPPER.NS,1399866484,India,1
79,Uranium Energy,UEC,1386096896,United States,1
80,NLC India,NLCINDIA.NS,1351669364,India,1
81,Compass Minerals,CMP,1337061504,United States,1
82,Koza Gold,KOZAL.IS,1318667754,Turkey,1
83,Compañía de Acero del Pacífico,CAP.SN,1259197200,Chile,1
84,Mechel PAO,MTL,1206171008,Russia,1
85,MAG Silver,MAG,1145771776,Canada,1
86,Energy Fuels,UUUU,1140864640,United States,1
87,Denison Mines,DNN,1088438784,Canada,1
88,Jastrzebska Spólka Weglowa,JSW.WA,1069456673,Poland,1
89,U.S. Silica,SLCA,1036622848,United States,1
90,Piedmont Lithium,PLL,1025975424,Australia,1
91,Orla Mining,ORLA,1021322304,Canada,1
92,BEML,BEML.NS,989395681,India,1
93,Centerra Gold,CGAU,986740288,Canada,1
94,Seabridge Gold,SA,966536320,Canada,1
95,Ivanhoe Electric,IE,938167872,Canada,1
96,ioneer,IONR,897167680,Australia,1
97,Standard Lithium,SLI,863436480,Canada,1
98,SilverCrest Metals,SILV,783197888,Canada,1
99,Coeur Mining,CDE,761149632,United States,1
100,Nexa Resources,NEXA,735036480,Luxembourg,1
101,Fortuna Silver Mines,FSM,662620480,Canada,1
102,Gujarat Mineral Development,GMDCLTD.NS,658377421,India,1
103,New Found Gold,NFGC,618120896,Canada,1
104,Endeavour Silver,EXK,534753760,Canada,1
105,Maverix Metals,MMX,509322400,Canada,1
106,DRDGOLD,DRD,470170848,South Africa,1
107,Patriot Battery Metals,PMET.V,457382197,Canada,1
108,American Battery Technology Company,ABML,440686816,United States,1
109,MOIL,MOIL.NS,433198240,India,1
110,New Pacific Metals,NEWP,404458048,Canada,1
111,Arizona Metals,AMC.V,386952890,Canada,1
112,Nouveau Monde Graphite,NMG,338948384,Canada,1
113,PolyMet,PLM,329780736,Canada,1
114,NACCO Industries,NC,313202368,United States,1
115,Taseko Mines,TGB,290445568,Canada,1
116,Argonaut Gold,AR.TO,268771522,United States,1
117,Marathon Gold,MOZ.TO,267358007,Canada,1
118,Hallador Energy Company,HNRG,217685152,United States,1
119,Gatos Silver,GATO,194267936,United States,1
120,Western Copper and Gold,WRN,193885824,Canada,1
121,Northern Dynasty Minerals,NAK,155828448,Canada,1
122,McEwen Mining,MUX,146550352,Canada,1
123,Hycroft Mining,HYMC,143793360,United States,1
124,Platinum Group Metals,PLG,137205168,Canada,1
125,Tanzanian Gold Corporation,TRX,132935944,Canada,1
126,Prakash Industries,PRAKASH.NS,132878809,India,1
127,Americas Gold and Silver Corp,USAS,79588568,Canada,1
128,Sierra Metals,SMTS,74843552,Canada,1
129,Vista Gold,VGZ,66150560,United States,1
130,Avino Silver &amp; Gold Mines,ASM,60924692,Canada,1
131,Petropavlovsk,POG.L,54701538,United Kingdom,1
132,Silver One Resources,SVE.V,48027963,Canada,1
133,Golden Minerals,AUMN,43514536,United States,1
134,Comstock Mining,LODE,41730924,United States,1
135,Brazil Minerals,BMIX,39534748,Brazil,1
136,Great Panther Mining,GPL,38185764,Canada,1
137,Solitario Zinc,XPL,36309444,United States,1
138,Orosur Mining,OMI.V,33037144,Canada,1
139,U.S. Gold Corp,USAU,30142922,United States,1
140,Austin Gold,AUST,20704008,United States,1
141,Trillium Gold Mines,TGM.V,8653588,Canada,1
